name,state,pop,area,cases,case_rate
Anne Arundel,Maryland,579234,414,289,5
St Johns,Florida,264672,600,132,5
Dawson,Georgia,26108,210,13,5
Humphreys,Mississippi,8064,418,4,5
Tallapoosa,Alabama,40367,716,20,5
Tate,Mississippi,28321,404,14,5
Wagoner,Oklahoma,81289,561,40,5
Dane,Wisconsin,546695,1197,269,5
Amite,Mississippi,12297,730,6,5
Lyon,Kentucky,8210,213,4,5
San Augustine,Texas,8237,530,4,5
Isle of Wight,Virginia,37109,315,18,5
Talbot,Georgia,6195,391,3,5
Randolph,Alabama,22722,580,11,5
Oktibbeha,Mississippi,49587,458,24,5
Franklin,Washington,95222,1242,46,5
Sumter,Alabama,12427,903,6,5
St Lawrence,New York,107740,2680,52,5
Niagara,New York,209281,522,101,5
Eaton,Michigan,110268,575,53,5
Noxubee,Mississippi,10417,695,5,5
Kenosha,Wisconsin,169561,271,81,5
Dodge,Minnesota,20934,439,10,5
Chester,Pennsylvania,524989,750,250,5
Washington,Texas,35882,603,17,5
Crawford,Indiana,10577,305,5,5
Meriwether,Georgia,21167,501,10,5
Orange,Florida,1393452,903,657,5
Cleburne,Alabama,14910,560,7,5
Phillips,Colorado,4265,687,2,5
Clarke,Georgia,128331,119,60,5
Surry,Virginia,6422,278,3,5
Franklin,Vermont,49402,633,23,5
Hillsborough,New Hampshire,417025,876,194,5
Custer,Idaho,4315,4920,2,5
Sharkey,Mississippi,4321,431,2,5
Douglas,Illinois,19465,416,9,5
Menifee,Kentucky,6489,203,3,5
Lincoln,Arkansas,13024,561,6,5
Los Angeles,California,10039107,4057,4605,5
Troup,Georgia,69922,413,32,5
York,Maine,207641,990,95,5
Amelia,Virginia,13145,355,6,5
Portage,Ohio,162466,487,74,5
Jackson,West Virginia,28576,464,13,5
Trumbull,Ohio,197974,618,90,5
Livingston,Louisiana,140789,648,64,5
Forrest,Mississippi,74897,466,34,5
Allegheny,Pennsylvania,1216045,730,552,5
Hamilton,New York,4416,1717,2,5
Lee,Florida,770577,784,348,5
Wyoming,New York,39859,592,18,5
Jerome,Idaho,24412,597,11,5
Sandoval,New Mexico,146748,3710,66,4
Noble,Oklahoma,11131,731,5,4
Richland,Louisiana,20122,559,9,4
Butler,Pennsylvania,187853,788,84,4
Jasper,Indiana,33562,559,15,4
Cottonwood,Minnesota,11196,638,5,4
La Plata,Colorado,56221,1692,25,4
Lubbock,Texas,310569,895,138,4
Rio Grande,Colorado,11267,911,5,4
Kalkaska,Michigan,18038,559,8,4
Divide,North Dakota,2264,1260,1,4
Cherokee,Georgia,258773,421,114,4
Grant,North Dakota,2274,1659,1,4
Saguache,Colorado,6824,3168,3,4
Tucker,West Virginia,6839,418,3,4
Boulder,Colorado,326196,726,143,4
Fayette,Tennessee,41133,704,18,4
Eddy,North Dakota,2287,630,1,4
Otsego,New York,59493,1001,26,4
Jackson,Missouri,703011,604,307,4
Shelby,Iowa,11454,590,5,4
Shelby,Texas,25274,795,11,4
Faulk,South Dakota,2299,981,1,4
Quitman,Georgia,2299,151,1,4
Teller,Colorado,25388,557,11,4
Bristol,Rhode Island,48479,24,21,4
Camden,Missouri,46305,655,20,4
Chemung,New York,83456,407,36,4
Alachua,Florida,269043,875,116,4
Lincoln,Nebraska,34914,2564,15,4
Hamilton,Nebraska,9324,542,4,4
Liberty,Montana,2337,1430,1,4
Copiah,Mississippi,28065,777,12,4
Fillmore,Minnesota,21067,861,9,4
Rankin,Mississippi,155271,775,66,4
Mower,Minnesota,40062,711,17,4
Marengo,Alabama,18863,976,8,4
Franklin,Ohio,1316756,532,557,4
Grafton,New Hampshire,89886,1708,38,4
Polk,Georgia,42613,310,18,4
Rensselaer,New York,158714,652,67,4
Laramie,Wyoming,99500,2685,42,4
Rutherford,Tennessee,332285,619,140,4
Goochland,Virginia,23753,281,10,4
Beaver,Pennsylvania,163929,434,69,4
Minnehaha,South Dakota,193134,807,81,4
Dallas,Texas,2635516,871,1105,4
Botetourt,Virginia,33419,541,14,4
Prince George,Virginia,38353,265,16,4
Crane,Texas,4797,785,2,4
Boone,Missouri,180463,685,75,4
Rutland,Vermont,58191,929,24,4
Cibola,New Mexico,26675,4539,11,4
Medina,Ohio,179746,421,74,4
Edmonson,Kentucky,12150,302,5,4
Berkeley,West Virginia,119171,321,49,4
Hall,Georgia,204441,392,84,4
Kemper,Mississippi,9742,766,4,4
Lincoln,Mississippi,34153,586,14,4
Dickson,Tennessee,53948,489,22,4
Geauga,Ohio,93649,400,38,4
Duval,Florida,957755,762,387,4
Leavenworth,Kansas,81758,462,33,4
Garland,Arkansas,99386,677,40,4
Callaway,Missouri,44743,834,18,4
Newport,Rhode Island,82082,102,33,4
Grant,Louisiana,22389,643,9,4
Klickitat,Washington,22425,1871,9,4
Butts,Georgia,24936,184,10,4
Salem,New Jersey,62385,331,25,4
McIntosh,North Dakota,2497,974,1,4
Beauregard,Louisiana,37497,1157,15,4
Stone,Arkansas,12506,606,5,4
Spokane,Washington,522798,1763,209,4
Lancaster,South Carolina,98012,549,39,4
Galveston,Texas,342139,378,136,4
Taos,New Mexico,32723,2203,13,4
Latimer,Oklahoma,10073,722,4,4
Granville,North Carolina,60443,531,24,4
Garvin,Oklahoma,27711,802,11,4
McHenry,Illinois,307774,603,122,4
Tipton,Indiana,15148,260,6,4
St Helena,Louisiana,10132,408,4,4
Custer,Colorado,5068,738,2,4
Adair,Missouri,25343,567,10,4
Fayette,Texas,25346,950,10,4
Natchitoches,Louisiana,38158,1252,15,4
Dawson,Texas,12728,900,5,4
Coweta,Georgia,148509,440,58,4
Jefferson,Kentucky,766757,380,299,4
Kane,Illinois,532403,520,207,4
Gwinnett,Georgia,936250,430,364,4
Lafayette,Mississippi,54019,631,21,4
Canyon,Idaho,229849,587,89,4
Westmoreland,Pennsylvania,348899,1027,135,4
Gem,Idaho,18112,560,7,4
Davis,Utah,355481,298,137,4
Clinton,New York,80485,1037,31,4
Roberts,South Dakota,10394,1101,4,4
Newton,Georgia,111744,272,43,4
Brazoria,Texas,374264,1357,144,4
Cherokee,North Carolina,28612,455,11,4
Webster,Georgia,2607,209,1,4
Tuscola,Michigan,52245,803,20,4
Suwannee,Florida,44417,688,17,4
Washington,Wisconsin,136034,430,52,4
Windsor,Vermont,55062,969,21,4
Cumberland,Tennessee,60520,681,23,4
Upson,Georgia,26320,323,10,4
Twin Falls,Idaho,86878,1921,33,4
Gove,Kansas,2636,1071,1,4
Washington,Oregon,601592,724,228,4
Monongalia,West Virginia,105612,360,40,4
Bryan,Georgia,39627,435,15,4
Seminole,Florida,471826,309,178,4
Smith,Mississippi,15916,636,6,4
Baker,Florida,29210,585,11,4
Kent,Delaware,180786,586,68,4
Calhoun,Texas,21290,506,8,4
St Charles,Missouri,402022,560,151,4
Larimer,Colorado,356899,2596,134,4
Pontotoc,Mississippi,32174,497,12,4
Putnam,Indiana,37576,480,14,4
Chester,South Carolina,32244,580,12,4
Atlantic,New Jersey,263670,555,98,4
Bradley,Arkansas,10763,649,4,4
Perry,Tennessee,8076,414,3,4
Fayette,Kentucky,323152,283,120,4
Iowa,Iowa,16184,586,6,4
Escambia,Florida,318316,656,118,4
Bertie,North Carolina,18947,699,7,4
Lake,Colorado,8127,376,3,4
Montgomery,North Carolina,27173,491,10,4
Houston,Georgia,157863,375,58,4
San Benito,California,62808,1388,23,4
Montgomery,Indiana,38338,504,14,4
Berrien,Michigan,153401,567,56,4
Cole,Missouri,76745,393,28,4
Kitsap,Washington,271473,394,99,4
Kendall,Illinois,128990,320,47,4
Lincoln,Louisiana,46742,471,17,4
Aurora,South Dakota,2751,708,1,4
Elmore,Idaho,27511,3074,10,4
Peach,Georgia,27546,150,10,4
Loudoun,Virginia,413538,515,150,4
Sagadahoc,Maine,35856,253,13,4
Clay,Mississippi,19316,410,7,4
Gordon,Georgia,57963,355,21,4
Morehouse,Louisiana,24874,794,9,4
Park,Montana,16606,2803,6,4
Sheridan,Wyoming,30485,2523,11,4
Spalding,Georgia,66703,196,24,4
Washington,Vermont,58409,687,21,4
Kent,Rhode Island,164292,168,59,4
Prentiss,Mississippi,25126,414,9,4
McCook,South Dakota,5586,574,2,4
Turner,South Dakota,8384,617,3,4
Burke,Georgia,22383,826,8,4
Calvert,Maryland,92525,213,33,4
Morris,Kansas,5620,695,2,4
Dauphin,Pennsylvania,278299,525,99,4
Burleigh,North Dakota,95626,1632,34,4
Bamberg,South Carolina,14066,393,5,4
Schoharie,New York,30999,621,11,4
Columbiana,Ohio,101883,531,36,4
Dallas,Iowa,93453,588,33,4
Greensville,Virginia,11336,295,4,4
Franklin,Kansas,25544,571,9,4
Hamilton,Ohio,817473,405,288,4
Leake,Mississippi,22786,583,8,4
Pinellas,Florida,974996,273,342,4
Ottawa,Kansas,5704,720,2,4
Orange,North Carolina,148476,397,52,4
Oneida,New York,228671,1212,80,3
Pulaski,Arkansas,391911,759,137,3
Greenville,South Carolina,523542,785,183,3
Genesee,New York,57280,492,20,3
Waukesha,Wisconsin,404198,549,141,3
Cedar,Missouri,14349,474,5,3
Lawrence,South Dakota,25844,800,9,3
Wichita,Texas,132230,627,46,3
Carroll,New Hampshire,48910,931,17,3
Victoria,Texas,92084,882,32,3
Jewell,Kansas,2879,909,1,3
Allegany,New York,46091,1029,16,3
Chester,Tennessee,17297,285,6,3
Coffee,Georgia,43273,575,15,3
New Kent,Virginia,23091,209,8,3
Montgomery,Missouri,11551,536,4,3
Santa Fe,New Mexico,150358,1909,52,3
Louisa,Virginia,37591,496,13,3
Lincoln,South Dakota,61128,577,21,3
Clinton,Missouri,20387,418,7,3
Wilson,North Carolina,81801,368,28,3
Pickaway,Ohio,58457,501,20,3
San Juan,Washington,17582,173,6,3
Broome,New York,190488,705,65,3
Santa Barbara,California,446499,2735,152,3
Monroe,Mississippi,35252,765,12,3
Summit,Ohio,541013,412,184,3
Tulsa,Oklahoma,651552,570,221,3
Lorain,Ohio,309833,491,105,3
Prince William,Virginia,470335,336,159,3
Hillsborough,Florida,1471968,1020,497,3
Chilton,Alabama,44428,692,15,3
Travis,Texas,1273954,990,430,3
Clay,Florida,219252,604,74,3
Fairfax,Virginia,1147532,6,387,3
Harrison,Mississippi,208080,573,70,3
Anderson,South Carolina,202558,715,68,3
Haralson,Georgia,29792,282,10,3
Madison,Ohio,44731,465,15,3
Ste Genevieve,Missouri,17894,499,6,3
